334 : False	2	0.000	0.625	0.688
46 : False	1	0.000	0.429	0.786
5 : False	1	0.000	0.875	0.562
74 : False	1	0.000	0.667	0.667
62 : False	3	0.333	0.400	0.633
22 : False	1	0.000	0.667	0.667
114 : False	1	0.000	0.333	0.833
72 : False	1	0.000	0.333	0.833
144 : False	1	1.000	0.667	0.167
159 : False	4	0.000	0.875	0.562
71 : False	1	0.000	0.600	0.700
183 : False	5	0.200	0.750	0.525
198 : False	1	0.000	0.600	0.700
217 : False	2	0.000	0.400	0.800
1356 : True	9	0.222	1.000	0.389
223 : False	4	0.250	1.000	0.375
30 : False	1	0.000	0.750	0.625
168 : False	1	0.000	0.200	0.900
253 : False	7	0.286	1.000	0.357
266 : False	1	0.000	0.600	0.700
333 : False	1	1.000	0.286	0.357
279 : False	3	0.333	0.800	0.433
339 : False	2	0.500	0.714	0.393
401 : False	2	0.000	0.700	0.650
442 : False	3	0.000	0.800	0.600
449 : True	13	0.154	1.000	0.423
495 : False	1	0.000	0.667	0.667
485 : False	2	0.000	0.750	0.625
364 : True	8	0.250	0.900	0.425
530 : False	2	0.500	0.500	0.500
1005 : False	4	0.250	0.333	0.708
557 : False	1	0.000	0.429	0.786
287 : False	3	0.333	0.667	0.500
569 : False	4	0.500	0.375	0.562
582 : False	1	0.000	0.714	0.643
601 : True	7	0.286	0.900	0.407
588 : False	2	0.000	0.375	0.812
686 : False	4	0.250	0.714	0.518
702 : False	1	0.000	0.333	0.833
124 : False	1	0.000	0.333	0.833
760 : False	2	0.500	0.200	0.650
776 : False	1	0.000	0.500	0.750
781 : False	2	0.000	0.429	0.786
795 : False	5	0.400	0.875	0.363
862 : False	2	0.000	0.500	0.750
887 : False	8	0.125	0.833	0.521
919 : True	43	0.093	1.000	0.453
930 : True	29	0.069	1.000	0.466
1036 : False	4	0.250	0.667	0.542
1048 : False	1	0.000	0.333	0.833
1080 : False	1	0.000	0.667	0.667
1098 : True	2	1.000	0.714	0.143
1146 : False	4	0.250	0.750	0.500
285 : False	1	1.000	0.125	0.438
1291 : True	2	1.000	0.333	0.333
1307 : False	5	0.200	0.875	0.463
1381 : False	6	0.167	0.800	0.517
264 : False	3	0.333	1.000	0.333
1496 : False	2	0.000	0.500	0.750
179 : False	2	0.000	0.429	0.786
1504 : False	2	0.000	0.286	0.857
1224 : False	1	0.000	0.143	0.929
1351 : False	3	0.333	0.750	0.458
1709 : True	7	0.286	0.714	0.500
1569 : False	4	0.000	0.500	0.750
1144 : False	2	0.500	0.250	0.625
1451 : False	5	0.200	0.375	0.713
1643 : False	3	0.333	0.250	0.708
1679 : False	2	0.000	0.500	0.750
656 : False	5	0.200	0.667	0.567
261 : False	2	0.500	0.333	0.583
1764 : False	4	0.000	0.667	0.667
1909 : False	4	0.250	0.857	0.446
1913 : False	2	0.500	0.500	0.500
1901 : False	5	0.200	0.125	0.838
1566 : False	1	0.000	0.286	0.857
1965 : False	4	0.250	0.167	0.792
1893 : False	1	0.000	0.429	0.786
696 : False	4	0.000	0.600	0.700
2028 : False	1	0.000	0.500	0.750
2040 : True	9	0.222	0.857	0.460
1991 : False	2	0.500	0.333	0.583
2456 : False	4	0.250	0.667	0.542
1979 : False	1	0.000	0.625	0.688
2129 : False	1	1.000	0.667	0.167
1894 : False	2	0.000	0.500	0.750
2150 : False	1	0.000	0.200	0.900
2116 : False	20	0.050	1.000	0.475
1371 : False	2	0.500	0.333	0.583
1583 : False	2	0.000	0.400	0.800
2020 : False	1	1.000	0.333	0.333
11954 : False	2	0.500	0.333	0.583
2392 : True	26	0.154	1.000	0.423
1670 : False	1	0.000	0.667	0.667
2590 : False	4	0.250	0.000	0.875
2624 : False	3	0.333	0.400	0.633
2669 : False	7	0.143	0.667	0.595
2645 : False	5	0.200	0.625	0.588
2649 : False	1	0.000	0.250	0.875
2660 : False	5	0.400	0.500	0.550
2485 : False	1	1.000	0.571	0.214
2719 : False	2	0.500	0.333	0.583
2775 : False	8	0.125	0.750	0.562
2817 : False	9	0.111	0.500	0.694
2824 : False	8	0.125	0.429	0.723
2833 : False	1	0.000	0.167	0.917
2860 : False	6	0.167	0.714	0.560
2902 : False	5	0.200	0.571	0.614
2912 : False	2	0.000	0.167	0.917
2750 : True	1	1.000	0.556	0.222
2820 : True	7	0.286	0.400	0.657
2898 : False	2	0.000	0.600	0.700
704 : False	1	1.000	0.333	0.333
2970 : False	13	0.077	1.000	0.462
1205 : True	5	0.400	0.750	0.425
3489 : False	6	0.167	0.800	0.517
2425 : False	4	0.250	0.286	0.732
2958 : True	17	0.235	1.000	0.382
3014 : True	5	0.400	0.800	0.400
26 : False	5	0.200	0.750	0.525
3019 : True	7	0.286	0.778	0.468
3062 : False	1	1.000	0.125	0.438
2942 : False	2	0.000	0.250	0.875
2635 : False	4	0.250	0.500	0.625
3136 : True	4	0.500	0.375	0.562
4045 : False	2	0.500	0.500	0.500
3178 : False	1	0.000	0.250	0.875
3184 : False	1	0.000	0.143	0.929
690 : False	1	1.000	0.167	0.417
2044 : False	1	0.000	0.250	0.875
3265 : False	1	1.000	0.333	0.333
3269 : False	5	0.200	0.286	0.757
3277 : False	1	0.000	0.429	0.786
3285 : False	2	0.500	0.300	0.600
2965 : False	1	0.000	0.429	0.786
3301 : False	7	0.143	0.333	0.762
1537 : False	3	0.000	0.167	0.917
3306 : False	3	0.333	0.333	0.667
10633 : False	5	0.000	0.375	0.812
3309 : True	2	1.000	1.000	0.000
3382 : False	9	0.000	0.500	0.750
3369 : False	3	0.000	0.667	0.667
3429 : False	3	0.667	0.167	0.583
3442 : False	1	0.000	0.286	0.857
276 : False	1	0.000	0.250	0.875
3472 : False	4	0.000	0.167	0.917
3484 : False	3	0.000	0.500	0.750
3488 : False	11	0.091	0.333	0.788
3432 : False	1	0.000	0.500	0.750
3550 : False	2	0.000	0.286	0.857
3601 : False	1	0.000	0.167	0.917
3467 : False	1	1.000	0.500	0.250
3567 : False	2	0.500	0.667	0.417
3625 : False	3	0.333	0.125	0.771
3582 : False	3	0.333	0.500	0.583
3681 : True	8	0.250	0.571	0.589
3700 : False	1	0.000	0.167	0.917
3732 : False	1	0.000	0.333	0.833
3748 : False	6	0.167	0.667	0.583
3744 : False	2	0.500	0.333	0.583
2658 : False	1	0.000	0.250	0.875
